t,rtt_ms
0.0,1.22
0.5,4.31
1.0,4.49
1.5,4.72
2.0,4.88
2.5,5.58
3.0,7.75
3.5,6.35
4.0,6.7
4.5,6.78
5.0,7.75
5.5,7.61
6.0,8.88
6.5,4.44
7.0,5.91
7.5,6.79
8.0,7.63
8.5,7.85
9.0,7.63
9.5,7.73
10.0,7.83
10.5,7.82
11.0,8.83
11.5,4.16
12.0,4.73
12.5,4.63
13.0,4.87
13.5,5.6
14.0,5.87
14.5,5.76
15.0,6.72
15.5,6.71
16.0,6.72
16.5,6.73
17.0,6.79
17.5,8.51
18.0,8.91
18.5,9.92
19.0,8.19
19.5,13.9
20.0,9.59
20.5,9.71
21.0,9.86
21.5,7.09
22.0,10.8
22.5,11.7
23.0,11.7
23.5,9.23
24.0,9.91
24.5,10.4
25.0,10.9
25.5,13.3
26.0,8.51
26.5,8.55
27.0,8.97
27.5,7.7
28.0,10.3
28.5,8.29
29.0,11.6
29.5,11.3
30.0,6.51
30.5,9.76
31.0,12.7
31.5,9.88
32.0,10.9
32.5,8.9
33.0,7.12
33.5,9.69
34.0,10.2
34.5,10.9
35.0,9.48
35.5,9.63
36.0,9.7
36.5,9.71
37.0,9.81
37.5,9.58
38.0,6.97
38.5,10.8
39.0,6.71
39.5,8.35
40.0,11.9
40.5,9.65
41.0,11.9
41.5,10.3
42.0,10.4
42.5,12.3
43.0,12.0
43.5,12.3
44.0,11.1
44.5,11.7
45.0,11.8
45.5,12.5
46.0,14.2
46.5,9.68
47.0,9.1
47.5,13.2
48.0,11.7
48.5,11.7
49.0,11.6
49.5,12.1
50.0,9.8
50.5,10.7
51.0,8.04
51.5,9.24
52.0,9.86
52.5,11.9
53.0,8.23
53.5,9.46
54.0,13.2
54.5,14.7
55.0,10.3
55.5,11.3
56.0,11.4
56.5,12.0
57.0,11.0
57.5,8.74
58.0,10.2
58.5,10.7
59.0,8.89
59.5,9.51
60.0,13.1
60.5,10.1
61.0,8.7
61.5,10.9
62.0,7.58
62.5,12.1
63.0,8.46
63.5,11.5
64.0,13.8
64.5,9.1
65.0,9.72
65.5,9.45
66.0,10.2
66.5,12.0
67.0,11.5
67.5,9.31
68.0,12.1
68.5,13.1
69.0,13.0
69.5,12.0
70.0,12.1
70.5,9.59
71.0,12.0
71.5,8.23
72.0,5.76
72.5,9.29
73.0,11.7
73.5,8.56
74.0,8.44
74.5,13.0
75.0,13.1
75.5,9.05
76.0,9.24
76.5,5.53
77.0,9.59
77.5,11.5
78.0,10.1
78.5,10.5
79.0,8.62
79.5,9.23
80.0,9.76
80.5,11.7
81.0,10.1
81.5,10.7
82.0,10.4
82.5,14.0
83.0,9.35
83.5,10.3
84.0,6.62
84.5,10.9
85.0,9.06
85.5,8.2
86.0,9.24
86.5,13.2
87.0,7.99
87.5,10.3
88.0,9.45
88.5,7.22
89.0,7.75
89.5,10.0
