t,rtt_ms
40.0,12.1
40.5,14.3
41.0,12.6
41.5,9.97
42.0,13.0
42.5,14.9
43.0,12.4
43.5,13.7
44.0,14.8
44.5,16.8
45.0,17.8
45.5,18.3
46.0,17.8
46.5,20.2
47.0,20.6
47.5,21.8
48.0,8.29
48.5,9.16
49.0,10.4
49.5,11.0
50.0,7.96
50.5,8.35
51.0,8.12
51.5,9.59
52.0,9.61
52.5,11.9
53.0,11.8
53.5,12.4
54.0,8.21
54.5,11.6
55.0,12.6
55.5,13.6
56.0,15.2
56.5,14.9
57.0,16.4
57.5,17.2
58.0,17.8
58.5,19.6
59.0,21.5
59.5,24.0
60.0,8.91
60.5,8.32
61.0,8.93
61.5,9.34
62.0,9.94
62.5,8.35
63.0,9.31
63.5,10.3
64.0,12.0
64.5,10.6
65.0,10.2
65.5,10.9
66.0,12.5
66.5,11.1
67.0,11.8
67.5,10.2
68.0,10.6
68.5,9.95
69.0,10.9
69.5,11.8
70.0,11.3
70.5,9.55
71.0,10.8
71.5,10.1
72.0,12.8
72.5,9.96
73.0,12.5
73.5,14.6
74.0,13.1
74.5,13.1
